,company,dpst,trantype,orderno,positionno,invoice,custcode,item,rate1,rate2,ed_amount,amth1,txah1,foreign_currency_amount,unitprice,deliveryqty,sales_amount,saleordertype,stoa,taxcode,orderdate,deladdress,salesrepcode,salesrep,lobcode,lineofbusiness
65,600,90040,613,603001515,10,17001441,CU1S09723,Z11016,1,1.00E-06,28025,190000,28025,190000,190000,1,190000,611,ADD059396,AGG0077,28-06-2017 07:00,ANANTHAPURAMU - 515001ANDHRAPRADESH ,200085,BASKARAN K,A01,4W Maruti
66,600,90040,613,603001760,20,17002172,CU1E01089,S15034,1,1.00E-06,11610,64500,11610,64500,64500,1,64500,611,ADD059630,GSTAG18,11-07-2017 10:11,"BESIDE PRASANGAM PARTY PLOT,GOTA ROAD, S G HIGH WAY,AHMEDABAD,GUJARAT - 382481",200085,BASKARAN K,A13,4W Unorganised/General
67,600,90040,613,603001760,20,17002172,CU1E01089,S15034,1,1.00E-06,11610,64500,11610,64500,64500,1,64500,611,ADD059630,GSTAG18,11-07-2017 10:11,"BESIDE PRASANGAM PARTY PLOT,GOTA ROAD, S G HIGH WAY,AHMEDABAD,GUJARAT - 382481",200085,BASKARAN K,A13,4W Unorganised/General
68,600,90040,613,603001738,10,17002056,CU1A00704,Z12115,1,1.00E-06,14400,80000,14400,80000,80000,1,80000,611,ADD059417,GSTAG18,10-07-2017 03:25,"90, PREM NAGARSATNA (M.P.) - 485001 ",200085,BASKARAN K,A13,4W Unorganised/General
69,600,90040,613,603001738,10,17002056,CU1A00704,Z12115,1,1.00E-06,14400,80000,14400,80000,80000,1,80000,611,ADD059417,GSTAG18,10-07-2017 03:25,"90, PREM NAGARSATNA (M.P.) - 485001 ",200085,BASKARAN K,A13,4W Unorganised/General
70,600,90040,613,603001869,10,17002510,CU1C00001,S11004,1,1.00E-06,7331.94,40733,7331.94,40733,40733,1,40733,611,PLC000290,GSTAG18,17-07-2017 09:08,OPP.ALL INDIA RADIO STATIONBANDAR ROADVIJAYAWADA,200085,BASKARAN K,L01,Other Industry
71,600,90040,613,603001869,10,17002510,CU1C00001,S11004,1,1.00E-06,7331.94,40733,7331.94,40733,40733,1,40733,611,PLC000290,GSTAG18,17-07-2017 09:08,OPP.ALL INDIA RADIO STATIONBANDAR ROADVIJAYAWADA,200085,BASKARAN K,L01,Other Industry
72,600,90042,613,603001818,110,17002452,CU1S09750,TMTA00527,1,1.00E-06,2532.6,14070,2532.6,14070,14070,1,14070,611,ADD059668,GSTAG18,14-07-2017 01:54,LUDHIANAPUNJAB - 141 001 ,200085,BASKARAN K,A01,4W Maruti
73,600,90042,613,603001818,110,17002452,CU1S09750,TMTA00527,1,1.00E-06,2532.6,14070,2532.6,14070,14070,1,14070,611,ADD059668,GSTAG18,14-07-2017 01:54,LUDHIANAPUNJAB - 141 001 ,200085,BASKARAN K,A01,4W Maruti
74,600,90042,613,603001818,60,17002453,CU1S09750,TMTA00528,1,1.00E-06,13762,49150,13762,49150,9830,5,49150,611,ADD059668,GSTAG19,14-07-2017 01:54,LUDHIANAPUNJAB - 141 001 ,200085,BASKARAN K,A01,4W Maruti
75,600,90042,613,603001818,60,17002453,CU1S09750,TMTA00528,1,1.00E-06,13762,49150,13762,49150,9830,5,49150,611,ADD059668,GSTAG19,14-07-2017 01:54,LUDHIANAPUNJAB - 141 001 ,200085,BASKARAN K,A01,4W Maruti
76,600,90050,613,603001905,10,17002454,CU1O00325,3603GAS00,1,1.00E-06,3024.9,16805,3024.9,16805,3361,5,16805,611,DLC051316,GSTAG14,18-07-2017 10:37,"3/54 MEYYANUR ROADKAMALA COMPLEX,5 ROADSALEM",200085,BASKARAN K,502,DEALERS
77,600,90050,613,603001905,10,17002454,CU1O00325,3603GAS00,1,1.00E-06,3024.9,16805,3024.9,16805,3361,5,16805,611,DLC051316,GSTAG14,18-07-2017 10:37,"3/54 MEYYANUR ROADKAMALA COMPLEX,5 ROADSALEM",200085,BASKARAN K,502,DEALERS
78,600,90040,613,603001792,10,17002440,CU1K02277,S12102,1,1.00E-06,133740,743000,133740,743000,74300,10,743000,611,ADD059674,GSTAG18,13-07-2017 13:03,"KALAVAD & 150 RING ROAD CIRCLEOPP. COSMO MULTIPLEX KALAVAD ROAD, RAJKOT",200085,BASKARAN K,A01,4W Maruti
79,600,90040,613,603001792,10,17002440,CU1K02277,S12102,1,1.00E-06,133740,743000,133740,743000,74300,10,743000,611,ADD059674,GSTAG18,13-07-2017 13:03,"KALAVAD & 150 RING ROAD CIRCLEOPP. COSMO MULTIPLEX KALAVAD ROAD, RAJKOT",200085,BASKARAN K,A01,4W Maruti
80,600,90042,613,603001847,30,17002259,CU1K02395,2399BR001,1,1.00E-06,13500,75000,13500,75000,75000,1,75000,611,DLC064747,GSTAG18,14-07-2017 12:14,"BHATLI CHHOWK,NATIONAL HIGHWAY-6NEAR ROYAL ENFIELD SHOWROOMBARGARH - 768 010",200085,BASKARAN K,A05,4W M & M
81,600,90042,613,603001847,30,17002259,CU1K02395,2399BR001,1,1.00E-06,13500,75000,13500,75000,75000,1,75000,611,DLC064747,GSTAG18,14-07-2017 12:14,"BHATLI CHHOWK,NATIONAL HIGHWAY-6NEAR ROYAL ENFIELD SHOWROOMBARGARH - 768 010",200085,BASKARAN K,A05,4W M & M
82,600,90040,613,603001949,10,17002463,CU1T00002,S12073,1,1.00E-06,44100,245000,44100,245000,245000,1,245000,611,DLC070171,GSTAG18,19-07-2017 10:31,"NH-6, DHANKAUDASAMBALPUR768 006",200085,BASKARAN K,A20,4W - Nissan
83,600,90040,613,603001949,10,17002463,CU1T00002,S12073,1,1.00E-06,44100,245000,44100,245000,245000,1,245000,611,DLC070171,GSTAG18,19-07-2017 10:31,"NH-6, DHANKAUDASAMBALPUR768 006",200085,BASKARAN K,A20,4W - Nissan
84,600,90040,613,603001736,10,17002286,CU1S01738,S12102,1,1.00E-06,14400,80000,14400,80000,80000,1,80000,611,ADD059639,GSTAG18,10-07-2017 03:25,"BHERAV MATA MANDIRNEAR TOLL NAKA, MAIN ROADSHAHPURA (M.P.) - 483119",200085,BASKARAN K,A01,4W Maruti
