Trade Date,Contract Descriptor,Exchange,Action,Qty,Price,Value,Order Ref.,Securities Transaction Tax-STT,Transaction Charges,Stamp Duty,SEBI Turnover Charges,Brokerage,Service Tax On Brokerage,Total Charges
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Buy","750","51.66","38745","#202504023700006643","0","13.77","0","0.04","290","54.68","358.49"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Buy","750","56.7","42525","#202504023700005458","0","15.11","5.17","0.04","290","54.94","365.26"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Sell","1200","60.09","72097.5","#202504023700004964","72.11","25.6","0","0.06","464","88.12","649.89"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Buy","300","52.85","15855","#202504023700003256","0","5.64","0","0.01","116","21.9","143.55"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Buy","300","58.1","17430","#202504023700002403","0","6.19","0","0.01","116","22","144.2"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Buy","300","70.57","21168.75","#202504023700001891","0","7.52","0","0.03","116","22.24","145.79"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23250-C-E-I","NSE","Buy","300","92.45","27735","#202504023700000692","0","9.85","0.83","0.03","116","22.64","149.35"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-22550-P-E-I","NSE","Sell","525","3.5","1837.5","#202504023700014292","1.87","0.65","0","0","203","36.66","242.18"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Buy","300","88.15","26445","#202504023700001347","0","9.4","0","0.03","116","22.58","148.01"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23250-C-E-I","NSE","Sell","300","85.1","25530","#202504023700001224","25.53","9.08","0","0.03","116","22.54","173.18"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25300-C-E-I","NSE","Sell","130","80.85","10510.5","#202602012700037006","10.52","3.74","0","0.02","58","11.12","83.4"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25000-C-E-I","NSE","Buy","65","182.5","11862.5","#202602012700051727","0","4.21","0.36","0.01","29","5.98","39.56"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25300-C-E-I","NSE","Buy","130","67.15","8729.5","#202602012700036696","0","3.1","0.23","0.01","58","11","72.34"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25350-P-E-I","NSE","Sell","65","202","13130","#202602012700007743","13.13","4.67","0","0.01","29","6.06","52.87"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25350-P-E-I","NSE","Buy","65","208.65","13562.25","#202602012700006537","0","4.82","0.41","0.01","29","6.1","40.34"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25300-C-E-I","NSE","Sell","65","208","13520","#202602012700003044","13.54","4.8","0","0.01","29","6.08","53.43"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25300-C-E-I","NSE","Buy","65","203.65","13237.25","#202602012700001323","0","4.7","0","0.01","29","6.06","39.77"
"01-Feb-26","OPT-NIFTY-03-Feb-2026-25000-C-E-I","NSE","Sell","65","197.25","12821.25","#202602012700051991","12.82","4.56","0","0.01","29","6.04","52.43"
"01-Dec-25","OPT-NIFTY-02-Dec-2025-26250-P-E-I","NSE","Buy","75","52.95","3971.25","#202512013700002407","0","1.41","0.12","0","29","5.48","36.01"
"01-Dec-25","OPT-NIFTY-02-Dec-2025-26100-P-E-I","NSE","Buy","450","18.9","8505","#202512013700001235","0","3.02","0","0.01","174","31.88","208.91"
"01-Dec-25","OPT-NIFTY-02-Dec-2025-26100-P-E-I","NSE","Buy","900","16.25","14625","#202512013700004091","0","5.2","0.88","0.01","348","63.58","417.67"
"01-Dec-25","OPT-NIFTY-02-Dec-2025-26250-P-E-I","NSE","Sell","150","119.25","17887.5","#202512013700021299","17.89","6.36","0","0.02","58","11.58","93.85"
"01-Dec-25","OPT-NIFTY-02-Dec-2025-26100-P-E-I","NSE","Sell","1800","35","63000","#202512013700011531","63.12","22.38","0","0.06","696","129.32","910.88"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-23500-P-E-I","NSE","Sell","450","136.3","61335","#202504013700006262","61.34","21.79","0","0.06","174","35.26","292.45"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-23500-P-E-I","NSE","Buy","225","112.85","25391.25","#202504013700005299","0","9.02","0","0.03","87","17.28","113.33"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-23500-P-E-I","NSE","Buy","225","104.6","23535","#202504013700004870","0","8.36","2.14","0.03","87","17.16","114.69"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-23500-P-E-I","NSE","Sell","225","92.3","20767.5","#202504013700004775","20.76","7.38","0","0.03","87","16.98","132.15"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-23500-P-E-I","NSE","Buy","225","95.3","21442.5","#202504013700004563","0","7.62","0","0.02","87","17.04","111.68"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-23500-C-E-I","NSE","Buy","225","112.75","25368.75","#202504013700002731","0","9","0.76","0.03","87","17.28","114.07"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-23500-C-E-I","NSE","Sell","225","143.25","32231.25","#202504013700003041","31.9","11.45","0","0.03","87","17.72","148.1"
"01-Apr-25","OPT-NIFTY-03-Apr-2025-22550-P-E-I","NSE","Buy","525","6.05","3176.25","#202504013700015773","0","1.12","0.1","0","203","36.7","240.92"

